22.666 4.5704e-07 8.5147e-07 
22.100 9.1374e-07 1.7608e-06 
21.566 2.0853e-06 3.9142e-06 
21.062 3.2552e-06 6.2557e-06 
20.586 6.0825e-06 1.1385e-05 
20.134 8.9051e-06 1.6983e-05 
19.705 1.6034e-05 2.9661e-05 
19.298 2.3150e-05 4.3430e-05 
18.910 3.9517e-05 7.1990e-05 
18.540 5.5850e-05 1.0289e-04 
18.186 9.2232e-05 1.6493e-04 
17.848 1.2853e-04 2.3172e-04 
17.525 1.9786e-04 3.4787e-04 
17.215 2.6700e-04 4.7282e-04 
16.918 3.9540e-04 6.8343e-04 
16.633 5.2339e-04 9.0940e-04 
16.359 7.3753e-04 1.2552e-03 
16.095 9.5088e-04 1.6261e-03 
15.841 1.2927e-03 2.1673e-03 
15.596 1.6332e-03 2.7473e-03 
15.360 2.1433e-03 3.5375e-03 
15.132 2.6513e-03 4.3842e-03 
14.912 3.3791e-03 5.4881e-03 
14.699 4.1037e-03 6.6705e-03 
14.493 5.0685e-03 8.1071e-03 
14.294 6.0289e-03 9.6477e-03 
14.101 7.3003e-03 1.1503e-02 
13.914 8.5656e-03 1.3492e-02 
13.733 1.0157e-02 1.5765e-02 
13.557 1.1740e-02 1.8203e-02 
13.387 1.3648e-02 2.0897e-02 
13.221 1.5546e-02 2.3789e-02 
13.060 1.7819e-02 2.6946e-02 
12.903 2.0081e-02 3.0334e-02 
12.751 2.2757e-02 3.3996e-02 
12.603 2.5419e-02 3.7924e-02 
12.459 2.8366e-02 4.1955e-02 
12.318 3.1295e-02 4.6287e-02 
12.181 3.4657e-02 5.0836e-02 
12.048 3.7998e-02 5.5721e-02 
11.918 4.2087e-02 6.1079e-02 
11.791 4.6152e-02 6.6806e-02 
11.667 5.0385e-02 7.2439e-02 
11.546 5.4592e-02 7.8474e-02 
11.428 5.9568e-02 8.4918e-02 
11.313 6.4515e-02 9.1797e-02 
11.200 6.9940e-02 9.8789e-02 
11.090 7.5336e-02 1.0625e-01 
10.982 8.0990e-02 1.1365e-01 
10.877 8.6611e-02 1.2155e-01 
10.774 9.3040e-02 1.2977e-01 
10.673 9.9442e-02 1.3853e-01 
10.574 1.0617e-01 1.4724e-01 
10.478 1.1287e-01 1.5650e-01 
10.383 1.2076e-01 1.6627e-01 
10.290 1.2863e-01 1.7664e-01 
10.199 1.3701e-01 1.8707e-01 
10.110 1.4537e-01 1.9811e-01 
10.023 1.5504e-01 2.0957e-01 
9.938 1.6471e-01 2.2166e-01 
9.854 1.7485e-01 2.3370e-01 
9.771 1.8499e-01 2.4640e-01 
9.690 1.9562e-01 2.5905e-01 
9.611 2.0627e-01 2.7238e-01 
9.533 2.1777e-01 2.8593e-01 
9.457 2.2932e-01 3.0019e-01 
9.382 2.4165e-01 3.1461e-01 
9.308 2.5408e-01 3.2975e-01 
9.235 2.6717e-01 3.4500e-01 
9.164 2.8038e-01 3.6099e-01 
9.094 2.9440e-01 3.7719e-01 
9.026 3.0860e-01 3.9417e-01 
8.958 3.2412e-01 4.1156e-01 
8.892 3.3986e-01 4.2976e-01 
8.826 3.5735e-01 4.4866e-01 
8.762 3.7514e-01 4.6837e-01 
8.698 3.9482e-01 4.8883e-01 
8.636 4.1487e-01 5.1009e-01 
8.575 4.3711e-01 5.3230e-01 
8.515 4.5981e-01 5.5534e-01 
8.456 4.8478e-01 5.7928e-01 
8.397 5.1027e-01 6.0398e-01 
8.340 5.3847e-01 6.2992e-01 
8.283 5.6730e-01 6.5659e-01 
8.227 5.9885e-01 6.8444e-01 
8.172 6.3096e-01 7.1283e-01 
8.118 6.6584e-01 7.4236e-01 
8.064 7.0088e-01 7.7197e-01 
8.012 7.3817e-01 8.0230e-01 
7.960 7.7471e-01 8.3189e-01 
7.909 8.1225e-01 8.6128e-01 
7.859 8.4741e-01 8.8864e-01 
7.809 8.8118e-01 9.1416e-01 
7.760 9.1050e-01 9.3615e-01 
7.712 9.3620e-01 9.5495e-01 
7.664 9.5645e-01 9.6964e-01 
7.617 9.7239e-01 9.8093e-01 
7.570 9.8354e-01 9.8878e-01 
7.525 9.9115e-01 9.9402e-01 
7.480 9.9120e-01 9.9398e-01 
7.435 9.9591e-01 9.9729e-01 
7.391 9.9805e-01 9.9872e-01 
7.348 9.9905e-01 9.9939e-01 
7.305 9.9952e-01 9.9969e-01 
7.263 9.9977e-01 9.9985e-01 
7.221 9.9987e-01 9.9991e-01 
7.180 9.9993e-01 9.9995e-01 
7.139 9.9996e-01 9.9997e-01 
7.099 9.9976e-01 9.9976e-01 
7.059 9.9975e-01 9.9975e-01 
7.020 9.9977e-01 9.9977e-01 
6.981 9.9978e-01 9.9978e-01 
6.943 9.9979e-01 9.9979e-01 
6.905 9.9980e-01 9.9980e-01 
6.867 9.9981e-01 9.9981e-01 
6.830 9.9982e-01 9.9982e-01 
6.793 9.9983e-01 9.9983e-01 
5     1          1
4     1          1
3     1          1
2     1          1
1     1          1
0     1          1
