17.848 1.3179e-07 2.5561e-07 
17.525 2.2170e-07 4.3259e-07 
17.215 3.1087e-07 6.2184e-07 
16.918 5.3193e-07 1.0744e-06 
16.633 7.5121e-07 1.5542e-06 
16.359 1.2403e-06 2.5557e-06 
16.095 1.7254e-06 3.6207e-06 
15.841 2.7114e-06 5.6412e-06 
15.596 3.6896e-06 7.7918e-06 
15.360 5.6195e-06 1.1731e-05 
15.132 7.5338e-06 1.5922e-05 
14.912 1.1054e-05 2.3119e-05 
14.699 1.4546e-05 3.0761e-05 
14.493 2.0757e-05 4.3375e-05 
14.294 2.6918e-05 5.6765e-05 
14.101 3.7345e-05 7.7878e-05 
13.914 4.7683e-05 1.0025e-04 
13.733 6.4347e-05 1.3396e-04 
13.557 8.0859e-05 1.6968e-04 
13.387 1.0633e-04 2.2115e-04 
13.221 1.3156e-04 2.7566e-04 
13.060 1.6940e-04 3.5207e-04 
12.903 2.0687e-04 4.3295e-04 
12.751 2.6125e-04 5.4259e-04 
12.603 3.1507e-04 6.5844e-04 
12.459 3.9134e-04 8.1183e-04 
12.318 4.6683e-04 9.7397e-04 
12.181 5.7094e-04 1.1828e-03 
12.048 6.7399e-04 1.4034e-03 
11.918 8.1301e-04 1.6812e-03 
11.791 9.5053e-04 1.9744e-03 
11.667 1.1325e-03 2.3367e-03 
11.546 1.3127e-03 2.7190e-03 
11.428 1.5475e-03 3.1835e-03 
11.313 1.7800e-03 3.6734e-03 
11.200 2.0774e-03 4.2580e-03 
11.090 2.3720e-03 4.8742e-03 
10.982 2.7436e-03 5.5995e-03 
10.877 3.1119e-03 6.3632e-03 
10.774 3.5708e-03 7.2512e-03 
10.673 4.0261e-03 8.1861e-03 
10.574 4.5866e-03 9.2593e-03 
10.478 5.1432e-03 1.0388e-02 
10.383 5.8213e-03 1.1671e-02 
10.290 6.4955e-03 1.3021e-02 
10.199 7.3089e-03 1.4540e-02 
10.110 8.1185e-03 1.6137e-02 
10.023 9.0871e-03 1.7921e-02 
9.938 1.0052e-02 1.9792e-02 
9.854 1.1195e-02 2.1863e-02 
9.771 1.2335e-02 2.4039e-02 
9.690 1.3678e-02 2.6431e-02 
9.611 1.5020e-02 2.8942e-02 
9.533 1.6588e-02 3.1684e-02 
9.457 1.8156e-02 3.4561e-02 
9.382 1.9976e-02 3.7685e-02 
9.308 2.1799e-02 4.0955e-02 
9.235 2.3902e-02 4.4492e-02 
9.164 2.6011e-02 4.8197e-02 
9.094 2.8436e-02 5.2188e-02 
9.026 3.0870e-02 5.6358e-02 
8.958 3.3648e-02 6.0830e-02 
8.892 3.6440e-02 6.5515e-02 
8.826 3.9611e-02 7.0502e-02 
8.762 4.2801e-02 7.5719e-02 
8.698 4.6412e-02 8.1266e-02 
8.636 5.0050e-02 8.7051e-02 
8.575 5.4159e-02 9.3208e-02 
8.515 5.8302e-02 9.9646e-02 
8.456 6.2950e-02 1.0643e-01 
8.397 6.7640e-02 1.1350e-01 
8.340 7.2897e-02 1.2098e-01 
8.283 7.8209e-02 1.2878e-01 
8.227 8.4130e-02 1.3699e-01 
8.172 9.0118e-02 1.4553e-01 
8.118 9.6783e-02 1.5452e-01 
8.064 1.0353e-01 1.6386e-01 
8.012 1.1103e-01 1.7369e-01 
7.960 1.1863e-01 1.8392e-01 
7.909 1.2703e-01 1.9464e-01 
7.859 1.3556e-01 2.0579e-01 
7.809 1.4495e-01 2.1743e-01 
7.760 1.5447e-01 2.2949e-01 
7.712 1.6498e-01 2.4214e-01 
7.664 1.7564e-01 2.5522e-01 
7.617 1.8735e-01 2.6891e-01 
7.570 1.9923e-01 2.8307e-01 
7.525 2.1231e-01 2.9792e-01 
7.480 2.2559e-01 3.1327e-01 
7.435 2.4008e-01 3.2925e-01 
7.391 2.5480e-01 3.4576e-01 
7.348 2.7092e-01 3.6303e-01 
7.305 2.8732e-01 3.8078e-01 
7.263 3.0518e-01 3.9935e-01 
7.221 3.2335e-01 4.1847e-01 
7.180 3.4313e-01 4.3844e-01 
7.139 3.6325e-01 4.5894e-01 
7.099 3.8508e-01 4.8034e-01 
7.059 4.0728e-01 5.0221e-01 
7.020 4.3134e-01 5.2512e-01 
6.981 4.5578e-01 5.4850e-01 
6.943 4.8212e-01 5.7288e-01 
6.905 5.0880e-01 5.9763e-01 
6.867 5.3740e-01 6.2335e-01 
6.830 5.6622e-01 6.4932e-01 
6.793 5.9688e-01 6.7614e-01 
6.757 6.2752e-01 7.0292e-01 
6.721 6.5974e-01 7.3035e-01 
6.686 6.9150e-01 7.5735e-01 
6.651 7.2426e-01 7.8453e-01 
6.617 7.5591e-01 8.1074e-01 
6.583 7.8767e-01 8.3646e-01 
6.549 8.1752e-01 8.6055e-01 
6.516 8.4652e-01 8.8349e-01 
6.483 8.7272e-01 9.0413e-01 
6.450 8.9697e-01 9.2290e-01 
6.418 9.1802e-01 9.3912e-01 
6.386 9.3669e-01 9.5327e-01 
6.354 9.5208e-01 9.6488e-01 
6.323 9.6502e-01 9.7450e-01 
6.292 9.7517e-01 9.8201e-01 
6.261 9.8314e-01 9.8785e-01 
6.231 9.8888e-01 9.9204e-01 
6.201 9.9300e-01 9.9502e-01 
6.172 9.9570e-01 9.9696e-01 
6.142 9.9744e-01 9.9820e-01 
6.113 9.9748e-01 9.9818e-01 
6.084 9.9860e-01 9.9903e-01 
6.056 9.9859e-01 9.9897e-01 
6.028 9.9868e-01 9.9904e-01 
6.000 9.9877e-01 9.9911e-01 
5     1          1
4     1          1
3     1          1
2     1          1
1     1          1
0     1          1
